2025-08-23 01:47:10,172 | DEBUG   | scraper.async_google_search | Async rate limiting: waiting 0.80 seconds
2025-08-23 01:47:10,337 | DEBUG   | scraper.async_google_search | Async Google search returned 10 results for: "henan xinlianxin fertilizer" contact email
2025-08-23 01:47:10,337 | DEBUG   | scraper.async_google_search | [TRACE] run: finished search for henan xinlianxin fertilizer  in 0.97s
2025-08-23 01:47:10,337 | INFO    | scraper.async_google_search | [ASYNC-GOOGLE] Completed search: henan xinlianxin fertilizer  (results=10)
2025-08-23 01:47:10,337 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Got result from streaming: henan xinlianxin fertilizer 
2025-08-23 01:47:10,338 | DEBUG   | scraper.async_orchestrator | [TRACE] Pulled company from google search: henan xinlianxin fertilizer 
2025-08-23 01:47:10,338 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Starting domain scoring for: henan xinlianxin fertilizer 
2025-08-23 01:47:10,338 | DEBUG   | scraper.domain_scorer | Applied penalty to facebook.com (contains facebook.com)
2025-08-23 01:47:10,338 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and facebook.com: 0 (base: 25, penalty: 25)
2025-08-23 01:47:10,338 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and jet-inc.com: 42 (base: 42, penalty: 0)
2025-08-23 01:47:10,339 | DEBUG   | scraper.domain_scorer | Applied penalty to linkedin.com (contains linkedin.com)
2025-08-23 01:47:10,339 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and linkedin.com: 37 (base: 62, penalty: 25)
2025-08-23 01:47:10,339 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and sinofert.com: 75 (base: 75, penalty: 0)
2025-08-23 01:47:10,339 | DEBUG   | scraper.domain_scorer | Applied penalty to cn.linkedin.com (contains linkedin.com)
2025-08-23 01:47:10,340 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and cn.linkedin.com: 37 (base: 62, penalty: 25)
2025-08-23 01:47:10,340 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and methanol.org: 50 (base: 50, penalty: 0)
2025-08-23 01:47:10,340 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and issuu.com: 22 (base: 22, penalty: 0)
2025-08-23 01:47:10,340 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and airproducts.com: 36 (base: 36, penalty: 0)
2025-08-23 01:47:10,341 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and cell.com: 33 (base: 33, penalty: 0)
2025-08-23 01:47:10,341 | DEBUG   | scraper.domain_scorer | Domain score for henan xinlianxin fertilizer  and fertilizerpricing.com: 74 (base: 74, penalty: 0)
2025-08-23 01:47:10,341 | DEBUG   | scraper.domain_scorer | Best domain for henan xinlianxin fertilizer : http://www.sinofert.com/en/s/5635-15034-47938.html (score: 75)
2025-08-23 01:47:10,341 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Domain scoring complete: henan xinlianxin fertilizer  -> http://www.sinofert.com/en/s/5635-15034-47938.html (score=75)
2025-08-23 01:47:10,341 | DEBUG   | scraper.async_orchestrator | [TRACE] Domain scored for henan xinlianxin fertilizer : http://www.sinofert.com/en/s/5635-15034-47938.html
2025-08-23 01:47:10,342 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Domain passed threshold for henan xinlianxin fertilizer : 75 >= 65
2025-08-23 01:47:10,342 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Normalized domain: http://www.sinofert.com/en/s/5635-15034-47938.html -> sinofert.com
2025-08-23 01:47:10,342 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Creating domain task: sinofert.com for company henan xinlianxin fertilizer 
2025-08-23 01:47:10,342 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Task scheduled. Total domain tasks: 2
2025-08-23 01:47:10,342 | DEBUG   | scraper.async_orchestrator | 🌐 Processing domain: sinofert.com (score: 75)
2025-08-23 01:47:10,343 | INFO    | scraper.async_http_client | Probing domain (sequential) for access method: sinofert.com
2025-08-23 01:47:10,343 | DEBUG   | scraper.async_http_client | Testing access method https: https://sinofert.com
2025-08-23 01:47:10,354 | WARNING | scraper.async_http_client | Async request failed (attempt 1/2): https://sinofert.com - Cannot connect to host sinofert.com:443 ssl:default [getaddrinfo failed]
2025-08-23 01:47:10,757 | DEBUG   | scraper.async_http_client | Async HEAD https://walter-schmidt-chemie.de -> 200 (len=0)
2025-08-23 01:47:10,758 | INFO    | scraper.async_http_client | Selected access method for walter-schmidt-chemie.de: https
2025-08-23 01:47:10,758 | DEBUG   | scraper.async_orchestrator | Using optimized URL pattern: https://walter-schmidt-chemie.de
2025-08-23 01:47:10,972 | DEBUG   | scraper.async_google_search | Async Google API search: "mitsui toatsu chemicals" contact email
2025-08-23 01:47:10,973 | DEBUG   | scraper.async_google_search | Async rate limiting: waiting 0.80 seconds
2025-08-23 01:47:11,248 | DEBUG   | scraper.async_http_client | Async GET https://walter-schmidt-chemie.de -> 200 (len=20930)
2025-08-23 01:47:11,258 | DEBUG   | scraper.regex_cache  | Compiled and cached regex pattern: 
        (?P<user>[A-Za-z0-9._%+-]+)               (0.657ms)
2025-08-23 01:47:11,260 | INFO    | scraper.email_extractor |   0 emails on https://walter-schmidt-chemie.de (def from text)
2025-08-23 01:47:11,270 | DEBUG   | scraper.email_extractor |   0 emails on https://walter-schmidt-chemie.de (def from html)
2025-08-23 01:47:11,281 | DEBUG   | scraper.async_google_search | Async Google search returned 10 results for: "mitsui toatsu chemicals" contact email
2025-08-23 01:47:11,281 | DEBUG   | scraper.async_google_search | [TRACE] run: finished search for mitsui toatsu chemicals  in 1.92s
2025-08-23 01:47:11,281 | INFO    | scraper.async_google_search | [ASYNC-GOOGLE] Completed search: mitsui toatsu chemicals  (results=10)
2025-08-23 01:47:11,282 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Got result from streaming: mitsui toatsu chemicals 
2025-08-23 01:47:11,282 | DEBUG   | scraper.async_orchestrator | [TRACE] Pulled company from google search: mitsui toatsu chemicals 
2025-08-23 01:47:11,282 | INFO    | scraper.async_orchestrator | [ORCHESTRATOR] Starting domain scoring for: mitsui toatsu chemicals 
